hour,weekday,dom,predicted_bikes
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
17,3,1,6.855430620751072
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,3,30,20.132902570136554
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
21,1,4,15.31657445135762
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
22,1,4,15.26311672004858
23,1,4,15.209658988739541
23,1,4,15.209658988739541
22,1,4,15.26311672004858
23,1,4,15.209658988739541
